workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
large,50000,16,1000000,100000,1,par_close,1,32,16,64.0060
large,50000,16,1000000,100000,1,par_close,2,32,16,62.4022
large,50000,16,1000000,100000,1,par_close,3,32,16,63.8833
large,50000,16,1000000,100000,1,par_close,4,32,16,62.9951
deep-s,1000,4,10000,2000,3,nelson_seq,0,32,16,3.2335
deep-s,1000,4,10000,2000,3,nelson_seq,1,32,16,3.1978
deep-s,1000,4,10000,2000,3,nelson_seq,2,32,16,3.1935
deep-s,1000,4,10000,2000,3,nelson_seq,3,32,16,3.1974
deep-s,1000,4,10000,2000,3,nelson_seq,4,32,16,3.1831
deep-s,1000,4,10000,2000,3,par_close,0,32,16,4.1684
deep-s,1000,4,10000,2000,3,par_close,1,32,16,4.0998
deep-s,1000,4,10000,2000,3,par_close,2,32,16,4.1633
deep-s,1000,4,10000,2000,3,par_close,3,32,16,4.3227
deep-s,1000,4,10000,2000,3,par_close,4,32,16,4.3643
deep-m,10000,8,200000,20000,3,nelson_seq,0,32,16,78.2820
deep-m,10000,8,200000,20000,3,nelson_seq,1,32,16,79.4222
deep-m,10000,8,200000,20000,3,nelson_seq,2,32,16,78.0033
deep-m,10000,8,200000,20000,3,nelson_seq,3,32,16,78.0309
deep-m,10000,8,200000,20000,3,nelson_seq,4,32,16,80.9930
deep-m,10000,8,200000,20000,3,par_close,0,32,16,15.2205
deep-m,10000,8,200000,20000,3,par_close,1,32,16,14.5741
deep-m,10000,8,200000,20000,3,par_close,2,32,16,15.2993
deep-m,10000,8,200000,20000,3,par_close,3,32,16,14.4780
deep-m,10000,8,200000,20000,3,par_close,4,32,16,14.6975
deep-l,50000,16,1000000,100000,3,nelson_seq,0,32,16,850.9345
deep-l,50000,16,1000000,100000,3,nelson_seq,1,32,16,849.5612
deep-l,50000,16,1000000,100000,3,nelson_seq,2,32,16,852.3062
deep-l,50000,16,1000000,100000,3,nelson_seq,3,32,16,858.7882
deep-l,50000,16,1000000,100000,3,nelson_seq,4,32,16,846.1303
deep-l,50000,16,1000000,100000,3,par_close,0,32,16,64.3865
deep-l,50000,16,1000000,100000,3,par_close,1,32,16,62.6163
deep-l,50000,16,1000000,100000,3,par_close,2,32,16,62.4800
deep-l,50000,16,1000000,100000,3,par_close,3,32,16,65.4732
deep-l,50000,16,1000000,100000,3,par_close,4,32,16,63.5407
small,1000,4,10000,2000,1,nelson_seq,0,64,16,4.5733
small,1000,4,10000,2000,1,nelson_seq,1,64,16,4.5497
small,1000,4,10000,2000,1,nelson_seq,2,64,16,4.6114
small,1000,4,10000,2000,1,nelson_seq,3,64,16,4.5364
small,1000,4,10000,2000,1,nelson_seq,4,64,16,4.5358
small,1000,4,10000,2000,1,par_close,0,64,16,6.0731
small,1000,4,10000,2000,1,par_close,1,64,16,4.9282
small,1000,4,10000,2000,1,par_close,2,64,16,3.9278
small,1000,4,10000,2000,1,par_close,3,64,16,3.8136
small,1000,4,10000,2000,1,par_close,4,64,16,3.2747
medium,10000,8,200000,20000,1,nelson_seq,0,64,16,101.3703
medium,10000,8,200000,20000,1,nelson_seq,1,64,16,78.9782
medium,10000,8,200000,20000,1,nelson_seq,2,64,16,79.0546
medium,10000,8,200000,20000,1,nelson_seq,3,64,16,78.5153
medium,10000,8,200000,20000,1,nelson_seq,4,64,16,87.5321
medium,10000,8,200000,20000,1,par_close,0,64,16,15.5274
medium,10000,8,200000,20000,1,par_close,1,64,16,14.7199
medium,10000,8,200000,20000,1,par_close,2,64,16,12.2349
medium,10000,8,200000,20000,1,par_close,3,64,16,14.0329
medium,10000,8,200000,20000,1,par_close,4,64,16,13.4537
large,50000,16,1000000,100000,1,nelson_seq,0,64,16,950.0169
large,50000,16,1000000,100000,1,nelson_seq,1,64,16,949.0707
large,50000,16,1000000,100000,1,nelson_seq,2,64,16,948.1606
large,50000,16,1000000,100000,1,nelson_seq,3,64,16,950.5023
large,50000,16,1000000,100000,1,nelson_seq,4,64,16,948.8809
large,50000,16,1000000,100000,1,par_close,0,64,16,49.0900
large,50000,16,1000000,100000,1,par_close,1,64,16,46.8670
large,50000,16,1000000,100000,1,par_close,2,64,16,46.9650
large,50000,16,1000000,100000,1,par_close,3,64,16,45.4796
large,50000,16,1000000,100000,1,par_close,4,64,16,44.6851
deep-s,1000,4,10000,2000,3,nelson_seq,0,64,16,3.8750
deep-s,1000,4,10000,2000,3,nelson_seq,1,64,16,3.3226
deep-s,1000,4,10000,2000,3,nelson_seq,2,64,16,3.2280
deep-s,1000,4,10000,2000,3,nelson_seq,3,64,16,3.2881
deep-s,1000,4,10000,2000,3,nelson_seq,4,64,16,3.3078
deep-s,1000,4,10000,2000,3,par_close,0,64,16,4.3962
deep-s,1000,4,10000,2000,3,par_close,1,64,16,4.2905
deep-s,1000,4,10000,2000,3,par_close,2,64,16,4.2788
deep-s,1000,4,10000,2000,3,par_close,3,64,16,4.5052
deep-s,1000,4,10000,2000,3,par_close,4,64,16,5.4378
deep-m,10000,8,200000,20000,3,nelson_seq,0,64,16,87.2783
deep-m,10000,8,200000,20000,3,nelson_seq,1,64,16,90.2225
deep-m,10000,8,200000,20000,3,nelson_seq,2,64,16,88.0879
