workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
deep-l,50000,16,1000000,100000,3,par_close,0,16,dnc,16,69.6940
deep-l,50000,16,1000000,100000,3,par_close,1,16,dnc,16,69.6563
deep-l,50000,16,1000000,100000,3,par_close,2,16,dnc,16,68.9378
deep-l,50000,16,1000000,100000,3,par_close,3,16,dnc,16,69.3731
deep-l,50000,16,1000000,100000,3,par_close,4,16,dnc,16,72.1588
small,1000,4,10000,2000,1,nelson_seq,0,32,dnc,16,3.5263
small,1000,4,10000,2000,1,nelson_seq,1,32,dnc,16,3.5902
small,1000,4,10000,2000,1,nelson_seq,2,32,dnc,16,3.9476
small,1000,4,10000,2000,1,nelson_seq,3,32,dnc,16,3.9343
small,1000,4,10000,2000,1,nelson_seq,4,32,dnc,16,4.0444
small,1000,4,10000,2000,1,par_close,0,32,dnc,16,3.4134
small,1000,4,10000,2000,1,par_close,1,32,dnc,16,3.3883
small,1000,4,10000,2000,1,par_close,2,32,dnc,16,3.3662
small,1000,4,10000,2000,1,par_close,3,32,dnc,16,3.1418
small,1000,4,10000,2000,1,par_close,4,32,dnc,16,2.9085
medium,10000,8,200000,20000,1,nelson_seq,0,32,dnc,16,137.6093
medium,10000,8,200000,20000,1,nelson_seq,1,32,dnc,16,137.7542
medium,10000,8,200000,20000,1,nelson_seq,2,32,dnc,16,136.0419
medium,10000,8,200000,20000,1,nelson_seq,3,32,dnc,16,137.1711
medium,10000,8,200000,20000,1,nelson_seq,4,32,dnc,16,136.9168
medium,10000,8,200000,20000,1,par_close,0,32,dnc,16,12.9435
medium,10000,8,200000,20000,1,par_close,1,32,dnc,16,11.6882
medium,10000,8,200000,20000,1,par_close,2,32,dnc,16,11.8942
medium,10000,8,200000,20000,1,par_close,3,32,dnc,16,11.7429
medium,10000,8,200000,20000,1,par_close,4,32,dnc,16,12.3992
large,50000,16,1000000,100000,1,nelson_seq,0,32,dnc,16,1063.7155
large,50000,16,1000000,100000,1,nelson_seq,1,32,dnc,16,1066.8400
large,50000,16,1000000,100000,1,nelson_seq,2,32,dnc,16,1069.5263
large,50000,16,1000000,100000,1,nelson_seq,3,32,dnc,16,1069.7614
large,50000,16,1000000,100000,1,nelson_seq,4,32,dnc,16,1071.5398
large,50000,16,1000000,100000,1,par_close,0,32,dnc,16,49.4874
large,50000,16,1000000,100000,1,par_close,1,32,dnc,16,47.8434
large,50000,16,1000000,100000,1,par_close,2,32,dnc,16,48.3708
large,50000,16,1000000,100000,1,par_close,3,32,dnc,16,48.6178
large,50000,16,1000000,100000,1,par_close,4,32,dnc,16,48.9310
deep-s,1000,4,10000,2000,3,nelson_seq,0,32,dnc,16,4.3184
deep-s,1000,4,10000,2000,3,nelson_seq,1,32,dnc,16,4.6314
deep-s,1000,4,10000,2000,3,nelson_seq,2,32,dnc,16,4.1644
deep-s,1000,4,10000,2000,3,nelson_seq,3,32,dnc,16,4.1863
deep-s,1000,4,10000,2000,3,nelson_seq,4,32,dnc,16,4.2230
deep-s,1000,4,10000,2000,3,par_close,0,32,dnc,16,2.4784
deep-s,1000,4,10000,2000,3,par_close,1,32,dnc,16,2.3857
deep-s,1000,4,10000,2000,3,par_close,2,32,dnc,16,2.4301
deep-s,1000,4,10000,2000,3,par_close,3,32,dnc,16,2.4504
deep-s,1000,4,10000,2000,3,par_close,4,32,dnc,16,2.3997
deep-m,10000,8,200000,20000,3,nelson_seq,0,32,dnc,16,129.1985
deep-m,10000,8,200000,20000,3,nelson_seq,1,32,dnc,16,133.9425
deep-m,10000,8,200000,20000,3,nelson_seq,2,32,dnc,16,135.7683
deep-m,10000,8,200000,20000,3,nelson_seq,3,32,dnc,16,134.8429
deep-m,10000,8,200000,20000,3,nelson_seq,4,32,dnc,16,136.9542
deep-m,10000,8,200000,20000,3,par_close,0,32,dnc,16,21.5413
deep-m,10000,8,200000,20000,3,par_close,1,32,dnc,16,23.0774
deep-m,10000,8,200000,20000,3,par_close,2,32,dnc,16,21.7891
deep-m,10000,8,200000,20000,3,par_close,3,32,dnc,16,21.5568
deep-m,10000,8,200000,20000,3,par_close,4,32,dnc,16,21.3587
deep-l,50000,16,1000000,100000,3,nelson_seq,0,32,dnc,16,1020.5948
deep-l,50000,16,1000000,100000,3,nelson_seq,1,32,dnc,16,1021.1522
deep-l,50000,16,1000000,100000,3,nelson_seq,2,32,dnc,16,1032.6907
deep-l,50000,16,1000000,100000,3,nelson_seq,3,32,dnc,16,1021.3417
deep-l,50000,16,1000000,100000,3,nelson_seq,4,32,dnc,16,1033.4881
deep-l,50000,16,1000000,100000,3,par_close,0,32,dnc,16,42.0416
deep-l,50000,16,1000000,100000,3,par_close,1,32,dnc,16,43.1388
deep-l,50000,16,1000000,100000,3,par_close,2,32,dnc,16,42.1180
deep-l,50000,16,1000000,100000,3,par_close,3,32,dnc,16,42.3269
deep-l,50000,16,1000000,100000,3,par_close,4,32,dnc,16,41.4107
small,1000,4,10000,2000,1,nelson_seq,0,64,dnc,16,4.3635
small,1000,4,10000,2000,1,nelson_seq,1,64,dnc,16,4.3562
small,1000,4,10000,2000,1,nelson_seq,2,64,dnc,16,4.3866
small,1000,4,10000,2000,1,nelson_seq,3,64,dnc,16,4.3989
small,1000,4,10000,2000,1,nelson_seq,4,64,dnc,16,4.5188
small,1000,4,10000,2000,1,par_close,0,64,dnc,16,5.0303
small,1000,4,10000,2000,1,par_close,1,64,dnc,16,4.4692
