workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
large,8,0,86518,1730227,737662,4.752,0.805,97.129,0.000,16.766,19.350
large,8,1,737662,0,0,24.851,4.234,0.000,,,
large,8,0,86518,1730227,737662,4.828,0.785,97.485,0.000,17.283,20.989
large,8,1,737662,0,0,25.819,4.301,0.000,,,
large,8,0,86518,1730227,737662,5.351,0.815,96.192,0.000,17.123,19.498
large,8,1,737662,0,0,27.174,4.446,0.000,,,
large,8,0,86518,1730227,737662,4.766,0.774,97.228,0.000,17.723,19.734
large,8,1,737662,0,0,26.049,4.772,0.000,,,
deep-s,8,0,1720,5755,2393,0.214,0.042,0.783,0.000,0.334,0.136
deep-s,8,1,2393,4828,1048,0.261,0.081,0.662,0.000,0.283,0.122
deep-s,8,2,1048,2096,0,0.226,0.110,0.263,0.000,0.117,0.036
deep-s,8,0,1720,5755,2393,0.224,0.042,0.761,0.000,0.328,0.119
deep-s,8,1,2393,4828,1048,0.229,0.081,0.649,0.000,0.290,0.109
deep-s,8,2,1048,2096,0,0.225,0.106,0.297,0.000,0.143,0.040
deep-s,8,0,1720,5755,2393,0.210,0.042,0.749,0.000,0.327,0.121
deep-s,8,1,2393,4828,1048,0.263,0.082,0.626,0.000,0.277,0.101
deep-s,8,2,1048,2096,0,0.252,0.088,0.292,0.000,0.147,0.037
deep-s,8,0,1720,5755,2393,0.201,0.049,0.734,0.000,0.326,0.122
deep-s,8,1,2393,4828,1048,0.224,0.077,0.646,0.000,0.287,0.106
deep-s,8,2,1048,2096,0,0.221,0.103,0.295,0.000,0.145,0.039
deep-s,8,0,1720,5755,2393,0.213,0.042,0.712,0.000,0.291,0.113
deep-s,8,1,2393,4828,1048,0.225,0.082,0.651,0.000,0.288,0.110
deep-s,8,2,1048,2096,0,0.226,0.101,0.299,0.000,0.152,0.035
deep-s,8,0,1720,5755,2393,0.210,0.041,0.762,0.000,0.299,0.113
