file,expected,algorithm,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
demo.16.ground.smt2,,par_async,8,0,unsat,1.960431,0.077450,0.950790,0.592850,0.079360,0.000000,0.001830,
demo.16.ground.smt2,,par_async,16,0,unsat,1.933753,0.077790,0.908820,0.603120,0.070660,0.000000,0.002250,
demo.16.ground.smt2,,par_async,32,0,unsat,1.783546,0.076810,0.767860,0.602140,0.070660,0.000000,0.002000,
demo.16.ground.smt2,,par_async,64,0,unsat,1.571126,0.079740,0.588710,0.554200,0.077810,0.000000,0.003210,
demo.16.ground.smt2,,par_async,128,0,unsat,1.642716,0.077660,0.592640,0.606580,0.092660,0.000000,0.003090,
demo.16.ground.smt2,,par_async,144,0,unsat,1.756967,0.074120,0.741810,0.577840,0.096940,0.000000,0.003070,
demo.17.ground.smt2,,nelson_topo_iter,1,0,unsat,1.057196,0.053120,0.379640,0.426210,0.030600,0.000000,0.003620,
demo.17.ground.smt2,,nelson_simple,1,0,unsat,1.036538,0.053780,0.372850,0.420670,0.023890,0.000000,0.002750,
demo.17.ground.smt2,,par_async,1,0,unsat,1.107307,0.050530,0.350660,0.401800,0.142410,0.000000,0.001460,
demo.17.ground.smt2,,par_async,2,0,unsat,1.192544,0.051340,0.415770,0.423740,0.134560,0.000000,0.002440,
demo.17.ground.smt2,,par_async,4,0,unsat,0.976831,0.052400,0.323220,0.341530,0.094770,0.000000,0.004080,
demo.17.ground.smt2,,par_async,8,0,unsat,1.472693,0.063400,0.687520,0.455340,0.093510,0.000000,0.010800,
demo.17.ground.smt2,,par_async,16,0,unsat,1.487007,0.051500,0.692780,0.462130,0.087490,0.000000,0.028150,
demo.17.ground.smt2,,par_async,32,0,unsat,1.109548,0.052340,0.423970,0.354400,0.072420,0.000000,0.036760,
demo.17.ground.smt2,,par_async,64,0,unsat,1.108468,0.055300,0.371100,0.362560,0.086980,0.000000,0.075860,
demo.17.ground.smt2,,par_async,128,0,unsat,1.193200,0.053540,0.371800,0.397830,0.095540,0.000000,0.117870,
demo.17.ground.smt2,,par_async,144,0,unsat,1.452952,0.054230,0.421520,0.593750,0.107000,0.000000,0.117910,
demo.19.ground.smt2,,nelson_topo_iter,1,0,unsat,0.635067,0.029890,0.244860,0.234220,0.030470,0.000000,0.002140,
demo.19.ground.smt2,,nelson_simple,1,0,unsat,0.924789,0.030420,0.406340,0.343920,0.029260,0.000000,0.002880,
demo.19.ground.smt2,,par_async,1,0,unsat,0.951284,0.033490,0.348740,0.363420,0.092090,0.000000,0.001650,
demo.19.ground.smt2,,par_async,2,0,unsat,0.803526,0.032770,0.277530,0.314840,0.073530,0.000000,0.001860,
demo.19.ground.smt2,,par_async,4,0,unsat,0.641711,0.031740,0.243280,0.233770,0.036220,0.000000,0.002180,
demo.19.ground.smt2,,par_async,8,0,unsat,0.594804,0.030050,0.205900,0.221460,0.034640,0.000000,0.006220,
demo.19.ground.smt2,,par_async,16,0,unsat,0.707903,0.028250,0.227480,0.294090,0.044300,0.000000,0.013420,
demo.19.ground.smt2,,par_async,32,0,unsat,0.598403,0.030730,0.217340,0.195890,0.029220,0.000000,0.026210,
demo.19.ground.smt2,,par_async,64,0,unsat,0.809469,0.030040,0.238020,0.352760,0.044500,0.000000,0.049720,
demo.19.ground.smt2,,par_async,128,0,unsat,1.068630,0.029700,0.435670,0.377360,0.041110,0.000000,0.069320,
demo.19.ground.smt2,,par_async,144,0,unsat,0.736497,0.031110,0.240780,0.265630,0.034290,0.000000,0.075580,
demo.2.ground.smt2,,nelson_topo_iter,1,0,unsat,1.412721,0.058280,0.550510,0.476700,0.112500,0.000000,0.003260,
demo.2.ground.smt2,,nelson_simple,1,0,unsat,1.369895,0.061140,0.508910,0.497340,0.083530,0.000000,0.003440,
demo.2.ground.smt2,,par_async,1,0,unsat,1.562825,0.055780,0.453240,0.443980,0.400860,0.000000,0.001810,
demo.2.ground.smt2,,par_async,2,0,unsat,1.518940,0.061660,0.485760,0.493220,0.268270,0.000000,0.001250,
demo.2.ground.smt2,,par_async,4,0,unsat,1.441358,0.054810,0.476540,0.487170,0.216230,0.000000,0.001130,
demo.2.ground.smt2,,par_async,8,0,unsat,1.364693,0.062090,0.462460,0.453880,0.177520,0.000000,0.001550,
demo.2.ground.smt2,,par_async,16,0,unsat,1.863737,0.059220,0.867010,0.543950,0.176160,0.000000,0.001940,
demo.2.ground.smt2,,par_async,32,0,unsat,1.565366,0.061750,0.610320,0.510430,0.170760,0.000000,0.002070,
demo.2.ground.smt2,,par_async,64,0,unsat,1.652378,0.059740,0.594500,0.562770,0.202180,0.000000,0.003060,
demo.2.ground.smt2,,par_async,128,0,unsat,1.466517,0.062430,0.473070,0.523200,0.204170,0.000000,0.002780,
demo.2.ground.smt2,,par_async,144,0,unsat,1.473461,0.062120,0.463480,0.520030,0.211740,0.000000,0.003000,
