file,expected,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.4.ground.smt2,,1,3,unsat,0.008514,0.000240,0.001780,0.002740,0.000660,0.000000,0.000010,
arrays-ops.4.ground.smt2,,1,4,unsat,0.008245,0.000220,0.001800,0.002660,0.000640,0.000000,0.000010,
arrays-ops.4.ground.smt2,,2,0,unsat,0.009587,0.000230,0.001780,0.003080,0.001210,0.000000,0.000030,
arrays-ops.4.ground.smt2,,2,1,unsat,0.009873,0.000230,0.001830,0.003160,0.001310,0.000000,0.000040,
arrays-ops.4.ground.smt2,,2,2,unsat,0.010548,0.000260,0.001800,0.003100,0.001250,0.000000,0.000050,
arrays-ops.4.ground.smt2,,2,3,unsat,0.009882,0.000220,0.001790,0.003150,0.001180,0.000000,0.000100,
arrays-ops.4.ground.smt2,,2,4,unsat,0.010398,0.000270,0.001830,0.003060,0.000950,0.000000,0.000040,
arrays-ops.4.ground.smt2,,4,0,unsat,0.012330,0.000260,0.001830,0.003240,0.001960,0.000000,0.000050,
arrays-ops.4.ground.smt2,,4,1,unsat,0.011110,0.000260,0.001790,0.003200,0.001930,0.000000,0.000060,
arrays-ops.4.ground.smt2,,4,2,unsat,0.012275,0.000270,0.001790,0.003200,0.002190,0.000000,0.000050,
arrays-ops.4.ground.smt2,,4,3,unsat,0.011711,0.000250,0.001810,0.003200,0.002360,0.000000,0.000060,
arrays-ops.4.ground.smt2,,4,4,unsat,0.012273,0.000260,0.001820,0.003440,0.002110,0.000000,0.000050,
arrays-ops.4.ground.smt2,,8,0,unsat,0.015127,0.000270,0.001800,0.004450,0.002880,0.000000,0.000050,
arrays-ops.4.ground.smt2,,8,1,unsat,0.013345,0.000230,0.001780,0.004150,0.002690,0.000000,0.000050,
arrays-ops.4.ground.smt2,,8,2,unsat,0.013882,0.000260,0.001790,0.004320,0.002720,0.000000,0.000040,
arrays-ops.4.ground.smt2,,8,3,unsat,0.013979,0.000250,0.001790,0.003980,0.003090,0.000000,0.000050,
arrays-ops.4.ground.smt2,,8,4,unsat,0.013524,0.000230,0.001820,0.004320,0.002650,0.000000,0.000050,
arrays-ops.4.ground.smt2,,16,0,unsat,0.018247,0.000240,0.001780,0.005410,0.004760,0.000000,0.000070,
arrays-ops.4.ground.smt2,,16,1,unsat,0.019656,0.000260,0.001800,0.005400,0.005260,0.000000,0.000060,
arrays-ops.4.ground.smt2,,16,2,unsat,0.018059,0.000230,0.001770,0.005910,0.004310,0.000000,0.000050,
arrays-ops.4.ground.smt2,,16,3,unsat,0.018286,0.000250,0.001840,0.005710,0.004370,0.000000,0.000060,
arrays-ops.4.ground.smt2,,16,4,unsat,0.017723,0.000220,0.001800,0.005470,0.004380,0.000000,0.000050,
arrays-ops.4.ground.smt2,,32,0,unsat,0.026798,0.000270,0.001790,0.008440,0.006790,0.000000,0.000050,
arrays-ops.4.ground.smt2,,32,1,unsat,0.026624,0.000250,0.001810,0.008960,0.006660,0.000000,0.000040,
arrays-ops.4.ground.smt2,,32,2,unsat,0.027072,0.000250,0.001820,0.008570,0.007350,0.000000,0.000060,
arrays-ops.4.ground.smt2,,32,3,unsat,0.026709,0.000270,0.001800,0.008840,0.006730,0.000000,0.000050,
arrays-ops.4.ground.smt2,,32,4,unsat,0.027990,0.000250,0.001800,0.009630,0.007420,0.000000,0.000060,
arrays-ops.4.ground.smt2,,64,0,unsat,0.043527,0.000290,0.001850,0.016840,0.012640,0.000000,0.000050,
arrays-ops.4.ground.smt2,,64,1,unsat,0.043530,0.000250,0.001780,0.017140,0.011270,0.000000,0.000050,
arrays-ops.4.ground.smt2,,64,2,unsat,0.037886,0.000240,0.001790,0.013640,0.011440,0.000000,0.000050,
arrays-ops.4.ground.smt2,,64,3,unsat,0.045864,0.000260,0.001790,0.017090,0.014430,0.000000,0.000050,
arrays-ops.4.ground.smt2,,64,4,unsat,0.044079,0.000290,0.001840,0.015630,0.013120,0.000000,0.000060,
arrays-ops.4.ground.smt2,,128,0,unsat,0.120977,0.000270,0.001860,0.036110,0.062570,0.000000,0.000080,
arrays-ops.4.ground.smt2,,128,1,unsat,0.103777,0.000300,0.001860,0.036990,0.045330,0.000000,0.000060,
arrays-ops.4.ground.smt2,,128,2,unsat,0.097538,0.000280,0.001830,0.033160,0.044240,0.000000,0.000060,
arrays-ops.4.ground.smt2,,128,3,unsat,0.110389,0.000290,0.001870,0.040300,0.050850,0.000000,0.000080,
arrays-ops.4.ground.smt2,,128,4,unsat,0.091546,0.000240,0.001700,0.032800,0.037920,0.000000,0.000060,
arrays-outputs.0.ground.smt2,,1,0,unsat,1.020062,0.017750,0.325980,0.342330,0.224200,0.000000,0.002320,
arrays-outputs.0.ground.smt2,,1,1,unsat,1.036298,0.017640,0.331530,0.347380,0.227720,0.000000,0.002380,
arrays-outputs.0.ground.smt2,,1,2,unsat,1.009636,0.016560,0.321050,0.337750,0.227250,0.000000,0.002340,
arrays-outputs.0.ground.smt2,,1,3,unsat,1.017609,0.016150,0.327880,0.340410,0.224420,0.000000,0.002450,
arrays-outputs.0.ground.smt2,,1,4,unsat,1.008930,0.016830,0.324280,0.334800,0.225290,0.000000,0.002340,
arrays-outputs.0.ground.smt2,,2,0,unsat,0.970263,0.016370,0.319840,0.334100,0.182200,0.000000,0.008210,
arrays-outputs.0.ground.smt2,,2,1,unsat,0.970095,0.016690,0.321160,0.336570,0.178570,0.000000,0.007770,
arrays-outputs.0.ground.smt2,,2,2,unsat,0.973879,0.016070,0.323260,0.335050,0.183230,0.000000,0.007900,
arrays-outputs.0.ground.smt2,,2,3,unsat,0.985444,0.015580,0.326570,0.335300,0.190150,0.000000,0.008470,
arrays-outputs.0.ground.smt2,,2,4,unsat,0.958571,0.016390,0.323980,0.331190,0.171830,0.000000,0.007890,
arrays-outputs.0.ground.smt2,,4,0,unsat,0.914011,0.014460,0.329750,0.331880,0.121450,0.000000,0.008560,
arrays-outputs.0.ground.smt2,,4,1,unsat,0.924834,0.017040,0.329370,0.332520,0.128210,0.000000,0.008960,
arrays-outputs.0.ground.smt2,,4,2,unsat,0.921023,0.015970,0.325710,0.334530,0.126570,0.000000,0.008820,
arrays-outputs.0.ground.smt2,,4,3,unsat,0.929271,0.015810,0.329740,0.339530,0.124520,0.000000,0.008950,
arrays-outputs.0.ground.smt2,,4,4,unsat,0.925392,0.016540,0.324690,0.334710,0.129900,0.000000,0.008460,
arrays-outputs.0.ground.smt2,,8,0,unsat,0.887083,0.016700,0.322130,0.333810,0.090720,0.000000,0.008970,
arrays-outputs.0.ground.smt2,,8,1,unsat,0.902462,0.017940,0.337240,0.337350,0.092670,0.000000,0.006700,
arrays-outputs.0.ground.smt2,,8,2,unsat,0.903752,0.018720,0.335410,0.336130,0.091010,0.000000,0.007960,
arrays-outputs.0.ground.smt2,,8,3,unsat,0.891401,0.015270,0.331150,0.337730,0.087550,0.000000,0.008750,
arrays-outputs.0.ground.smt2,,8,4,unsat,0.892903,0.017300,0.332480,0.335520,0.085580,0.000000,0.007740,
arrays-outputs.0.ground.smt2,,16,0,unsat,0.890158,0.015350,0.333050,0.347070,0.071470,0.000000,0.008600,
arrays-outputs.0.ground.smt2,,16,1,unsat,0.915166,0.015980,0.325100,0.367770,0.078030,0.000000,0.009710,
arrays-outputs.0.ground.smt2,,16,2,unsat,0.898960,0.017060,0.335720,0.346130,0.074540,0.000000,0.009170,
arrays-outputs.0.ground.smt2,,16,3,unsat,0.895051,0.016260,0.331240,0.347360,0.073850,0.000000,0.008950,
arrays-outputs.0.ground.smt2,,16,4,unsat,0.904906,0.017290,0.337550,0.353290,0.075070,0.000000,0.006500,
