file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,nelson_simple,2,1,0.461544,0.379136,0.713518,1074.9066
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,nelson_simple,3,1,0.461544,0.379136,0.713518,1105.0293
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,nelson_simple,4,1,0.461544,0.379136,0.713518,1095.1595
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_parents,0,1,0.461544,0.379136,0.713518,3821.6221
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_parents,1,1,0.461544,0.379136,0.713518,4043.3201
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_parents,2,1,0.461544,0.379136,0.713518,4168.6714
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_parents,3,1,0.461544,0.379136,0.713518,4197.9243
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_parents,4,1,0.461544,0.379136,0.713518,4214.6609
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_filter,0,1,0.461544,0.379136,0.713518,1541.3649
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_filter,1,1,0.461544,0.379136,0.713518,1536.8651
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_filter,2,1,0.461544,0.379136,0.713518,1533.3252
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_filter,3,1,0.461544,0.379136,0.713518,1537.0293
6s100-xits-opt.gates,hwmcc12_with_not,3435519,2571412,835018,6841949,par_filter,4,1,0.461544,0.379136,0.713518,1541.4363
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,nelson_simple,0,1,0.720230,0.598937,1.190197,1665.6846
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,nelson_simple,1,1,0.720230,0.598937,1.190197,1720.0862
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,nelson_simple,2,1,0.720230,0.598937,1.190197,1724.3911
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,nelson_simple,3,1,0.720230,0.598937,1.190197,1722.1374
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,nelson_simple,4,1,0.720230,0.598937,1.190197,1719.7048
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_parents,0,1,0.720230,0.598937,1.190197,7107.5821
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_parents,1,1,0.720230,0.598937,1.190197,7499.4176
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_parents,2,1,0.720230,0.598937,1.190197,7669.5155
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_parents,3,1,0.720230,0.598937,1.190197,7740.9567
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_parents,4,1,0.720230,0.598937,1.190197,7750.1078
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_filter,0,1,0.720230,0.598937,1.190197,39052.9054
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_filter,1,1,0.720230,0.598937,1.190197,39038.1864
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_filter,2,1,0.720230,0.598937,1.190197,39054.5274
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_filter,3,1,0.720230,0.598937,1.190197,39047.5011
6s104-ands-opt.gates,hwmcc12_with_not,5408579,4624476,2055360,12088415,par_filter,4,1,0.720230,0.598937,1.190197,39037.1163
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,nelson_simple,0,1,0.749280,0.602498,1.124691,1539.8179
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,nelson_simple,1,1,0.749280,0.602498,1.124691,1581.4367
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,nelson_simple,2,1,0.749280,0.602498,1.124691,1589.7451
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,nelson_simple,3,1,0.749280,0.602498,1.124691,1586.5549
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,nelson_simple,4,1,0.749280,0.602498,1.124691,1568.5738
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,par_parents,0,1,0.749280,0.602498,1.124691,5972.4984
6s104-xits-opt.gates,hwmcc12_with_not,5454645,3893762,1312166,10660573,par_parents,1,1,0.749280,0.602498,1.124691,6380.3730
