[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.309ms frontier=  0.064ms semisort=  0.705ms (keyed= 0.014ms group_by=  0.493ms per_group= 0.083ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.156ms frontier=  0.028ms semisort=  0.296ms (keyed= 0.004ms group_by=  0.173ms per_group= 0.046ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.104ms frontier=  0.015ms semisort=  0.216ms (keyed= 0.002ms group_by=  0.075ms per_group= 0.053ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.074ms frontier=  0.010ms semisort=  0.139ms (keyed= 0.001ms group_by=  0.051ms per_group= 0.035ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.057ms frontier=  0.008ms semisort=  0.127ms (keyed= 0.001ms group_by=  0.031ms per_group= 0.046ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.047ms frontier=  0.008ms semisort=  0.097ms (keyed= 0.001ms group_by=  0.025ms per_group= 0.037ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.069ms frontier=  0.007ms semisort=  0.108ms (keyed= 0.001ms group_by=  0.029ms per_group= 0.030ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.051ms frontier=  0.006ms semisort=  0.111ms (keyed= 0.002ms group_by=  0.040ms per_group= 0.032ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.040ms frontier=  0.005ms semisort=  0.046ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.017ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.037ms frontier=  0.003ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.019ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.031ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.028ms frontier=  0.003ms semisort=  0.053ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.021ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.037ms frontier=  0.004ms semisort=  0.072ms (keyed= 0.001ms group_by=  0.017ms per_group= 0.028ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.059ms frontier=  0.006ms semisort=  0.057ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.026ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.045ms frontier=  0.004ms semisort=  0.031ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.019ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.042ms frontier=  0.004ms semisort=  0.127ms (keyed= 0.002ms group_by=  0.047ms per_group= 0.044ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.024ms frontier=  0.003ms semisort=  0.042ms (keyed= 0.002ms group_by=  0.015ms per_group= 0.006ms)
